<<<<<<< HEAD
﻿Provience,Location,Weather,Traveltype,Accommodation,Address,Perpersonbudget,Activities
Southern,Galle,Hot,Spiritual,SHESHESU GUEST HOUSE & WEDDING HALL,"SHESHESU GUEST HOUSE,OLD BATAPOLA ROAD,KURUDUGAHA HATAPMA,ELPITIYA.",16800,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SOUTH STAR HOTEL,"KABALANA ROAD,KATHALUWA,AHANGAMA.",33200,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,LAGOON VIEW GUEST HOUSE AND RESTAURANT,"STATION KANDA, HORAWALA, HABURUGALA",29600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SURFING VILLA,"WELHANGODA, AHANGAMA,",21500,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL BLUE NOTE,"NO. 424, GALLE ROAD, HIKKADUWA",29300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL DHAMMIKA,"YADDEHIMULLA ROAD, UNAWATUNA, GALLE",16300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,ASIAN JEWEL HOTEL,"""FIELD VIEW"", BADDEGAMA ROAD, NALAGASDENIYA, HIKKADUWA",12400,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,NEW IMPERIAL GUEST HOUSE,"NO. 500, GALLE ROAD, WEWALA, HIKKADUWA",11700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SRI GEMUNU GUEST HOUSE,"DALAWELLA, UNAWATUNA, GALLE",9800,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SANHINDA REST,"NO. 10, REGIS ILLEPERUMA MAWATHA, ULUVITIKE, GALLE",14700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SOUTH BEACH RESORT,"POLOYAMODARA WATTHA, KATHALUWA, AHANGAMA",14500,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SEA VIEW GUEST HOUSE,"DEVALA ROAD, UNAWATUNA, GALLE",15800,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,OCEAN DREAMS HOTEL,"JANISGEWATTA,""ARANWALA"",MATARA RD,AHANGAMA",16900,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,WASANTHA GUEST HOUSE & RESTAURANT,"AMBALANGODA ROAD,ELPITIYTA.",12300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,BEACH HOTEL BLACK ORCHID,"GALLE ROAD, KIKAWALA, INDURUWA",11700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,AYURVEDA SHUNYATA VILLA,"NO:660/A,GALLE ROAD,GALABODA,INDURUWA",17900,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL KINTOP,"UKOWITA,UDUGAMA",13500,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SHANTHI GUEST HOUSE,"DALAWELLA,UNAWATUNA,GALLE.",8100,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SIGN OF LIFE RESORT,"ATURUWELLA, INDURUWA",8600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,DREAM RESTAURANT & GUEST HOUSE,"NO. 453, MATARA ROAD, DEAWATA, KATUGODA, GALLE",16700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,LAVENDISH BEACH RESORT,"GANAHENA,UNAWATUNA,GALLE",8100,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,CHANDIMA GUEST HOUSE.,"MAIN STREET, ELPITIYA.",19400,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,DEUTSCH LANKA HOTEL & RESTAURANT,"GODAGAMA, THELWATTA",20400,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,GAYAN GUEST HOUSE,"ELAKAKA ROAD, KANAHENTOTA, HABURUGALA.",28600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL GARDEN BEACH,"643/19, THALGAHAPITYA ROAD, KOSGODA.",22900,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HASARA GUEST HOUSE,"NO.01, WEKUNUGODA ROAD, GALLE.",16300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL PANCHI VILLA,"KURUWATTA, WARAHENA, BENTOTA.",29900,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,KALLA BONGO LAKE RESORT,"22/8K FEILD VIEW, BADDEGAMA ROAD, NALAGASDENIYA, HIKKADUWA.",35800,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,WARAHENA BEACH HOTEL,"GALLE ROAD,WARAHENA,BENTOTA.",18700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,MAMAS CORAL BEACH,"NO:338,GALLE ROAD,HIKKADUWA",24000,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,POINT DE GALLE,"MIHIRIPENNA, TALPE, UNAWATUNA.",6200,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SAMAN REST,"235,NEW ROAD,AMBALANGODA",23100,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SUITE LANKA HOTEL,"THIRANAGAMA,HIKKADAWA",8800,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SEA LINE,"NO.1/108,PETTIGALAWATTA,GALLE",22900,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,THAMBAPANNI RETREAT,"YADDEHIMULLA,UNAWATUNA,GALLE",27700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,THAPROBAN ROOMS AND RESTAURANT,"72,YADDEHIMULLA,UNAWATUNA",24300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,UNAWATUNA NOR-LANKA HOTEL,"PALUGEDARAWATTA,PEELLAGODA,UNAWATUNA",9600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,VIBRATION HOTEL,"495,,GALLE ROAD,WEWALA,HIKKADUWA.",16100,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,BOJANGLES BEACH HOUSE,"BARANIGEWATTA,WELHENGODA,AHANGAMA",16300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,BLUE HORIZON,"NO. 129,HIGH BEACH ROAD, AMBALANGODA",43200,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,CLOSENBURG HOTEL,"11, CLOSEDBERG ROAD,MAGALLE ,GALLE",14800,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HAREESHA HOLIDAY RESORT,"IMADUWA ROAD,YAKKALAMULLA",22600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,GARDEN BEACH CLUB,"NO.430,MATHARA ROAD,DALAWELLA,UNAWATUNA",53000,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,GOLDEN NEST GUEST HOUSE,"NO.21, CRIPPS ROAD, GALLE",8200,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL FLOWER GARDEN,"NO.14,WELLA DEWALA ROAD,UNAWATUNA,GALLE",25400,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,KURUNDUWATTA HOLIDAY RESORT,"THOTUPOLA ROAD, PITIGALA",25200,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL NEPTUNE BAY,"YADDHIMULLA ROAD, UNAWATUNA, GALLE",16100,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,LOTUS REST,"162/19, WATHUREGAMA, AHUNGALLA",27600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL PARADISO,"406,GALLE ROAD,HIKKADUWA",30600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HINIDUMA REST HOUSE,"REST HOUSE,HINIDUMA",15000,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SOLAR GARDEN RESTAURENT & GUEST HOUSE,"NO:86,GALLE ROAD,PIYADIGAMA,AHANGAMA.",19500,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,THE VILLA HOTEL,"YADDHEMULLA,UNAWATUNA",21300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL WONDER BAR,"CHANDANA VILLA,ROBOLGODA,BENTHOTA",28300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SUN N SEA HOTEL,"NO. 324, MATARA ROAD, GANAHENA, UNAWATUNA",42500,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,BINURI HOTEL & GUEST HOUSE,"WADIYA WATTA,MAPALAGAMA,GALLE",24000,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,DECO ON FORTY FOUR,"NO:44,LIGHT HOUSE STREET,FORT,GALLE",15700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,VILLA LANKA PEARL,"23/13, GHANATHILAKA MAWATHA, WELLABODA, BALAPITIYA",13300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,DALAWELLA BEACH RESORT,NO448.DALAWELLA.UNAWATUNA,18400,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SAYURIMA HOTEL & GUEST HOUSE,"GOVIYAPANA, AHANGAMA",31200,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,COCOON SEA RESORT,"NO 903,GALLE ROAD,DUWE MADARA,KOSGODA",8300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,NIPPON VILLA BEACH RESORT,"NO.412/D, GALLE ROAD, WEWALA, HIKKADUWA",12700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,PANWILA CABANAS,"CINNAMON NR.030,PANWILA,80240,HIKKADUWA",27800,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,TISARA VILLAS,"ADAGEWATTA,DUWAMALALA RD,KATUKURUNDA,HABARADUWA",39100,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SEYANA ECO LODGE,"LANKAGAMA,NELUWA,GALLE",8700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,NUMBER TWENTY VILLA,"NO 20,MIDDLE STREET,FORT,GALLE",8400,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,WIMAL RESORT,"274/24,PARANGIYA WATTA,PEELLAGODA,UNAWATUNA",10800,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,NOOIT GEDACHT CASTLE O VILLA,"182, MATARA ROAD, UNAWATUNA",51500,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,AMAL VILLA,"ROBOLGODA,BENTHOTA",13400,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,CORAL SEAS BEACH RESORT,"N0.346, GALLE ROAD, HIKKADUWA",25800,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SERGEANT HOUSE,"NO:381,MATARA ROAD,GANAHENA,UNAWATUNA,GALLE",29200,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,AMBA AYURVEDA BOUTIQUE HOTEL,"704, WALAGEDARA, GALLE ROAD,BALAPITIYA",32100,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,MILTONS BEACH RESORT,"GANAHENA,UNAWATUNA",20100,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,THE M G S HOTEL,"NO:283/A2,PUBUDU MAWATHA, ELPITIYA",17900,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,ICE AGE HOTEL AND RESTURANT,"359,GALLE ROAD,BALAPITIYA",21900,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL WEWALA BEACH,"NO. 380, GALLE ROAD, HIKKADUWA",24000,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HABARADUWA HOUSE VILLA,"HADYWATTA,HABARADUWA,GALLE",14600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,ROMAN BEACH,"777/2,THIRANAGAMA,HIKKADUWA",16300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,ROMAN LAKE,"GODAGEDARA ROAD,PATHEGAMA,BALAPITIYA",12300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,LOTUS PARADISE,"PANNALA,GODAGEDARA,BALAPITIYA",21300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,RANAWARA,"NO:98 , THILAWATANA WATTE , KAHANDA MODARA , RANNA",19200,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,SHINY LAKESIDE RESORT,"MARAGAHA HENA,PUNCHI PATHANA,HIKKADUWA",23600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,LE REVE DIKKA,"NO.583,GALLE ROAD,NARIGAMA,HIKKADUWA.",31000,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,WHITE VILLA RESORT AND RESTAURNT,"22/50,THOTAWATHTHA ROAD,AHUNGALLA.",12600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL ITALIA,"NO 6 HEENELA ROAD,VILEGODA,AMBALANGODA",46700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,ORIOLE VILLA,"324,WELLATOTA WATHTHA, KANAHINTOTA,BENTOTA",12300,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,THE FRANGIPANI TREE,"NO.812, MATARA ROAD, MIHIRIPENNA, THALPE.",12400,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,PRINTERS VILLA,"NO.39,PEDLAR STREET,FORT,GALLE",15700,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,HOTEL RITAS AND BEACH RESTURANT,"GALLE ROAD,NARIGAMA,HIKKADUWA",28100,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,THE NATURE TRAILS.,"NO.144 B,MATARA ROAD,UNAWATUNA.",16600,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
Southern,Galle,Hot,Spiritual,MOSVOLD VILLA,"38,WALHENGODA,AHANGAMA",21200,"Music festivals,Walking tours,Explore Galle Dutch Fort,Visit Galle Fort Lighthouse,Maritime Museum,Sea Turtle Hatchery,Tuk Tuk Tours,Meeran Jumma Mosque"
